Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
L56642,L,298.6,309.3,1494,41.2,188,0,0,0,0,0,0
L56317,L,297.7,308.6,1731,28.4,98,0,0,0,0,0,0
M16582,M,298.4,307.9,1726,27.6,158,0,0,0,0,0,0
L49763,L,299.2,308.9,1733,25.9,195,0,0,0,0,0,0
M19179,M,301.6,310.2,1721,31.1,54,0,0,0,0,0,0
M18147,M,301.2,310.1,1649,33.3,34,0,0,0,0,0,0
H34311,H,303.7,312.5,1470,45.5,163,0,0,0,0,0,0
L50406,L,300.5,309.3,1499,33.4,89,0,0,0,0,0,0
L56800,L,298.9,310.0,1450,39.4,108,0,0,0,0,0,0
L53107,L,300.5,310.1,1449,46.2,55,0,0,0,0,0,0
L56260,L,297.2,308.0,1527,25.4,163,0,0,0,0,0,0
L51377,L,302.5,311.0,1573,33.0,193,0,0,0,0,0,0
M15123,M,298.0,308.1,1424,49.5,30,0,0,0,0,0,0
M18691,M,302.3,310.8,1453,43.6,127,0,0,0,0,0,0
L54675,L,300.3,311.9,1348,58.1,187,0,0,0,0,0,0
M24474,M,299.0,310.1,1512,37.8,109,0,0,0,0,0,0
L50765,L,301.9,310.7,1291,57.4,137,0,0,0,0,0,0
L50314,L,300.2,309.6,1445,48.7,66,0,0,0,0,0,0
L53966,L,301.2,310.7,1818,23.7,98,0,0,0,0,0,0
M22811,M,300.9,311.8,1443,48.1,25,0,0,0,0,0,0
L47712,L,297.4,309.3,1827,26.1,70,0,0,0,0,0,0
L53949,L,301.2,310.8,1392,52.6,15,0,0,0,0,0,0
L50491,L,301.3,310.4,1459,36.3,92,0,0,0,0,0,0
M17235,M,299.2,308.5,1475,47.1,35,0,0,0,0,0,0
L52783,L,302.9,312.2,1365,49.8,88,0,0,0,0,0,0
L49833,L,299.9,309.2,1348,52.6,198,0,0,0,0,0,0
H36556,H,300.3,309.7,1384,41.5,49,0,0,0,0,0,0
H31898,H,298.9,308.6,1404,47.8,146,0,0,0,0,0,0
L54665,L,300.2,311.6,1395,51.4,76,0,0,0,0,0,0
L47297,L,298.9,308.7,1599,51.9,101,0,0,0,0,0,0
L54833,L,300.3,311.4,1531,42.6,2,0,0,0,0,0,0
L51322,L,301.8,310.3,1688,28.8,54,0,0,0,0,0,0
L49117,L,298.1,308.0,1498,42.4,0,0,0,0,0,0,0
M19694,M,303.4,311.8,1656,34.5,9,0,0,0,0,0,0
L50962,L,302.2,310.8,1695,31.6,9,0,0,0,0,0,0
L48406,L,297.1,308.4,1471,45.5,146,0,0,0,0,0,0
L54272,L,300.7,310.2,1493,35.9,15,0,0,0,0,0,0
L54260,L,300.6,310.4,1418,47.3,203,0,0,0,0,0,0
M22277,M,300.1,311.4,1341,46.3,193,0,0,0,0,0,0
L48887,L,298.1,307.8,1666,32.8,67,0,0,0,0,0,0
L55092,L,300.7,312.1,1498,44.0,20,0,0,0,0,0,0
L50164,L,300.6,309.7,1545,35.6,148,0,0,0,0,0,0
M16035,M,297.3,308.4,1578,36.6,127,0,0,0,0,0,0
H30011,H,297.6,309.6,1452,46.6,13,0,0,0,0,0,0
L48080,L,295.6,306.1,1641,31.1,96,0,0,0,0,0,0
L51453,L,302.4,310.8,1425,44.4,115,0,0,0,0,0,0
M21804,M,300.8,311.4,1350,54.0,53,0,0,0,0,0,0
M20316,M,303.1,312.6,1737,26.8,137,0,0,0,0,0,0
M21678,M,300.9,310.7,1295,55.2,174,0,0,0,0,0,0
M21406,M,301.4,310.8,1530,39.9,158,0,0,0,0,0,0
L51362,L,302.4,310.9,1592,34.1,157,0,0,0,0,0,0
M15591,M,297.1,308.6,1448,53.3,160,0,0,0,0,0,0
H39274,H,298.6,309.5,1652,28.4,79,0,0,0,0,0,0
L48996,L,298.1,307.6,1550,44.5,137,0,0,0,0,0,0
L53104,L,300.3,310.2,1369,48.5,36,0,0,0,0,0,0
M20841,M,300.7,310.7,1439,46.8,184,0,0,0,0,0,0
L52048,L,303.6,312.4,1418,44.0,128,0,0,0,0,0,0
M17942,M,300.0,309.3,1520,43.9,147,0,0,0,0,0,0
L56936,L,298.5,309.8,1420,45.0,158,0,0,0,0,0,0
L53428,L,300.8,310.1,1405,61.2,189,0,0,0,0,0,0
L56602,L,298.1,308.5,1791,27.6,20,0,0,0,0,0,0
L50666,L,301.9,310.8,1650,29.8,0,0,0,0,0,0,0
M24108,M,298.3,309.1,1506,40.9,176,0,0,0,0,0,0
L57047,L,298.9,309.9,1411,48.6,0,0,0,0,0,0,0
L55790,L,297.4,308.3,1441,44.0,0,0,0,0,0,0,0
L55758,L,297.5,308.0,1489,40.6,141,0,0,0,0,0,0
L55238,L,300.1,311.5,1411,41.1,71,0,0,0,0,0,0
L50351,L,300.4,309.6,1441,44.7,170,0,0,0,0,0,0
M19113,M,302.6,311.0,1562,37.2,182,0,0,0,0,0,0
L54263,L,300.7,310.4,1443,39.7,0,0,0,0,0,0,0
L56160,L,297.0,307.6,1525,36.5,124,0,0,0,0,0,0
L57035,L,298.6,309.4,1386,58.0,47,0,0,0,0,0,0
M22092,M,299.8,309.9,1618,30.8,212,0,0,0,0,0,0
L50721,L,301.9,310.8,1546,44.2,5,0,0,0,0,0,0
L49232,L,299.5,309.4,1362,55.4,138,0,0,0,0,0,0
M20212,M,303.4,312.8,1590,36.8,113,0,0,0,0,0,0
M18419,M,301.8,310.7,1659,29.9,53,0,0,0,0,0,0
H30676,H,297.8,309.2,1648,40.8,168,0,0,0,0,0,0
H36895,H,300.3,311.4,1545,37.3,142,0,0,0,0,0,0
M21726,M,301.0,311.4,1454,41.5,192,0,0,0,0,0,0
M22262,M,299.8,310.8,1473,43.6,156,0,0,0,0,0,0
L53865,L,301.7,310.8,1570,36.7,11,0,0,0,0,0,0
L52657,L,302.7,312.0,1389,50.7,170,0,0,0,0,0,0
H33197,H,302.2,310.8,1606,33.3,11,0,0,0,0,0,0
H31197,H,298.3,308.0,1658,30.2,52,0,0,0,0,0,0
L47278,L,298.8,308.9,1528,34.6,53,0,0,0,0,0,0
M16956,M,299.4,309.3,1452,42.7,36,0,0,0,0,0,0
M23806,M,297.3,308.3,1846,49.9,188,0,0,0,0,0,0
L52163,L,303.8,313.0,1472,45.8,211,0,0,0,0,0,0
M15192,M,297.6,308.3,1538,40.2,181,0,0,0,0,0,0
M16361,M,298.0,308.9,1638,34.2,217,0,0,0,0,0,0
L55583,L,298.5,309.6,1442,48.2,115,0,0,0,0,0,0
L52352,L,304.2,313.4,1390,48.7,75,0,0,0,0,0,0
L53949,L,301.2,310.8,1314,53.6,139,0,0,0,0,0,0
M16392,M,298.0,308.9,1335,39.2,74,0,0,0,0,0,0
L56447,L,298.2,308.8,1362,31.4,28,0,0,0,0,0,0
L49268,L,299.5,309.4,1496,46.4,16,0,0,0,0,0,0
L49961,L,300.2,309.5,1574,32.9,36,0,0,0,0,0,0
M18236,M,301.7,310.6,1418,48.7,104,0,0,0,0,0,0
L55851,L,297.5,308.8,1618,29.9,34,0,0,0,0,0,0
M21141,M,301.2,310.8,1553,38.8,56,0,0,0,0,0,0
L52049,L,303.7,312.6,1718,26.5,130,0,0,0,0,0,0
M22143,M,300.0,310.2,1445,58.7,68,0,0,0,0,0,0
L53185,L,300.7,310.6,1380,46.3,9,0,0,0,0,0,0
M18156,M,301.2,310.5,1644,31.1,56,0,0,0,0,0,0
M17482,M,299.8,309.4,1556,43.1,176,0,0,0,0,0,0
L53701,L,301.6,310.6,1486,36.9,40,0,0,0,0,0,0
L49435,L,299.1,308.3,1361,47.6,32,0,0,0,0,0,0
L53622,L,300.8,310.3,1447,47.0,76,0,0,0,0,0,0
L50119,L,300.6,309.5,1510,44.9,199,0,0,0,0,0,0
L55304,L,300.2,311.4,1454,51.2,146,0,0,0,0,0,0
M21144,M,301.3,310.8,1357,50.3,64,0,0,0,0,0,0
L53756,L,301.4,310.7,1445,47.6,17,0,0,0,0,0,0
L49273,L,299.4,309.2,1444,43.8,26,0,0,0,0,0,0
M17463,M,299.3,309.2,1968,20.5,31,0,0,0,0,0,0
M21831,M,300.7,311.1,1487,42.1,115,0,0,0,0,0,0
H32059,H,300.0,309.6,1531,35.0,74,0,0,0,0,0,0
M16368,M,298.8,309.8,1425,37.3,209,0,0,0,0,0,0
L55779,L,297.6,308.1,1623,33.3,195,0,0,0,0,0,0
L48994,L,298.1,307.7,1470,34.1,138,0,0,0,0,0,0
L49087,L,297.9,307.6,1365,42.4,180,0,0,0,0,0,0
L51623,L,302.5,310.3,1405,57.4,156,0,0,0,0,0,0
M21066,M,300.9,310.7,1559,35.7,139,0,0,0,0,0,0
L56705,L,299.0,310.3,1487,38.1,74,0,0,0,0,0,0
M17647,M,300.3,309.6,1507,43.1,203,0,0,0,0,0,0
L52960,L,301.4,311.1,1408,40.5,113,0,0,0,0,0,0
L52887,L,302.2,311.4,1331,49.3,31,0,0,0,0,0,0
L56064,L,298.0,309.2,1696,30.1,102,0,0,0,0,0,0
L53060,L,301.5,311.1,1559,29.8,166,0,0,0,0,0,0
M19798,M,303.5,312.6,1483,41.3,98,0,0,0,0,0,0
L49085,L,297.9,307.6,1425,49.2,178,0,0,0,0,0,0
L55790,L,297.4,308.3,1452,38.3,0,0,0,0,0,0,0
M20421,M,302.3,311.7,1341,51.2,194,0,0,0,0,0,0
L53848,L,301.4,310.5,1723,30.7,206,0,0,0,0,0,0
L52984,L,301.5,310.9,1376,54.6,215,1,0,0,0,1,0
M15907,M,296.6,307.7,1474,51.1,0,0,0,0,0,0,0
M15666,M,296.9,307.8,1611,33.1,117,0,0,0,0,0,0
L53247,L,300.8,310.5,1447,39.8,114,0,0,0,0,0,0
L57146,L,298.3,307.9,1403,50.1,149,0,0,0,0,0,0
M18097,M,300.9,309.1,1489,41.8,116,0,0,0,0,0,0
L55808,L,297.4,308.3,1441,42.2,45,0,0,0,0,0,0
L53527,L,300.3,309.7,1483,39.5,17,0,0,0,0,0,0
M16307,M,299.0,310.3,1348,33.6,67,0,0,0,0,0,0
M18004,M,300.6,310.0,1512,39.3,95,0,0,0,0,0,0
L48299,L,296.5,307.5,1341,43.8,87,0,0,0,0,0,0
L53361,L,301.0,310.8,1475,43.3,19,0,0,0,0,0,0
L48770,L,298.2,307.6,1497,39.3,207,0,0,0,0,0,0
L52399,L,303.8,313.0,1365,59.9,205,0,0,0,0,0,0
M21213,M,300.0,309.6,1491,43.0,26,0,0,0,0,0,0
L54278,L,300.7,310.2,1642,32.6,0,0,0,0,0,0,0
M19443,M,302.9,311.2,1743,37.7,73,0,0,0,0,0,0
L56278,L,297.3,308.1,1452,44.1,199,0,0,0,0,0,0
L56070,L,297.8,308.9,1494,46.7,24,0,0,0,0,0,0
L50822,L,302.3,311.7,1365,53.7,7,0,0,0,0,0,0
L48559,L,298.7,310.1,1340,59.0,112,1,0,0,0,0,0
L48404,L,296.8,307.9,1521,35.1,98,0,0,0,0,0,0
L49341,L,299.4,309.0,1448,46.9,62,0,0,0,0,0,0
L56272,L,297.2,308.1,1477,44.4,194,0,0,0,0,0,0
L55721,L,298.5,309.5,1528,37.2,49,0,0,0,0,0,0
L49461,L,299.3,308.6,1639,31.4,91,0,0,0,0,0,0
L54988,L,299.9,311.4,1383,41.6,118,0,0,0,0,0,0
L53258,L,300.8,310.7,1689,30.3,199,0,0,0,0,0,0
L53886,L,301.4,310.6,1381,44.5,0,0,0,0,0,0,0
L55175,L,301.0,312.3,1776,28.8,138,0,0,0,0,0,0
L56669,L,298.9,309.7,1407,46.0,207,0,0,0,0,0,0
M17290,M,298.9,308.8,1378,51.6,40,0,0,0,0,0,0
L53565,L,300.1,309.7,1410,40.7,115,0,0,0,0,0,0
L54529,L,299.7,310.3,1750,25.8,17,0,0,0,0,0,0
H30815,H,298.9,310.1,1433,46.2,9,0,0,0,0,0,0
L52194,L,303.8,312.8,1419,58.9,72,0,0,0,0,0,0
L47617,L,297.4,308.3,1443,43.2,47,0,0,0,0,0,0
L52332,L,304.3,313.5,1585,32.8,0,0,0,0,0,0,0
L49689,L,299.0,308.9,1422,49.0,104,0,0,0,0,0,0
L50627,L,301.8,310.6,1624,34.6,216,0,0,0,0,0,0
L53297,L,300.8,311.0,1507,44.4,86,0,0,0,0,0,0
L47740,L,297.6,309.4,1886,21.9,146,0,0,0,0,0,0
L56150,L,297.1,308.0,1462,52.4,98,0,0,0,0,0,0
L48004,L,296.7,307.5,1495,36.3,175,0,0,0,0,0,0
L53166,L,300.6,310.7,1517,42.4,200,0,0,0,0,0,0
L54206,L,300.6,310.6,1483,43.4,62,0,0,0,0,0,0
L56779,L,299.0,310.1,1433,44.1,64,0,0,0,0,0,0
L49961,L,300.2,309.4,1625,31.1,39,0,0,0,0,0,0
L55926,L,297.4,308.8,1554,42.0,140,0,0,0,0,0,0
H31564,H,299.3,309.0,1431,41.6,180,0,0,0,0,0,0
L53963,L,301.3,310.8,1450,53.4,59,0,0,0,0,0,0
L56276,L,297.2,308.1,1712,30.9,24,0,0,0,0,0,0
L48183,L,296.2,307.1,1444,43.4,44,0,0,0,0,0,0
L55941,L,297.5,308.7,1433,49.8,17,0,0,0,0,0,0
L47887,L,296.9,307.7,1547,34.3,113,0,0,0,0,0,0
L49776,L,299.0,308.7,1892,21.0,16,0,0,0,0,0,0
M18384,M,301.8,310.8,1365,48.2,137,0,0,0,0,0,0
H32781,H,301.4,310.6,1630,32.6,2,0,0,0,0,0,0
L49389,L,299.8,309.0,1572,37.2,116,0,0,0,0,0,0
L53250,L,300.6,310.9,1558,36.1,183,0,0,0,0,0,0
H39180,H,298.9,310.2,1365,60.5,73,0,0,0,0,0,0
L56866,L,299.1,310.1,1350,46.2,92,0,0,0,0,0,0
M24370,M,299.2,310.5,1523,34.9,21,0,0,0,0,0,0
L48397,L,297.0,308.1,1479,43.5,122,0,0,0,0,0,0
L52805,L,302.7,312.1,1597,35.7,146,0,0,0,0,0,0
M18114,M,301.0,309.7,1518,40.2,104,0,0,0,0,0,0
L50331,L,300.5,309.8,1611,43.8,119,0,0,0,0,0,0
L53886,L,301.4,310.6,1633,33.1,70,0,0,0,0,0,0
L48265,L,297.0,307.8,1717,56.4,202,1,0,0,0,0,0
M19816,M,303.8,312.5,1363,49.4,75,0,0,0,0,0,0
L50420,L,300.9,309.6,1438,42.4,127,0,0,0,0,0,0
L49079,L,297.8,307.5,1420,45.8,166,0,0,0,0,0,0
M18302,M,301.7,310.6,1441,48.1,201,0,0,0,0,0,0
L48896,L,298.2,307.7,1664,28.4,78,0,0,0,0,0,0
L52201,L,304.0,313.0,1350,45.2,88,0,0,0,0,0,0
M23806,M,297.3,308.2,1846,46.6,41,0,0,0,0,0,0
M23843,M,297.0,307.7,1450,51.1,130,0,0,0,0,0,0
L53182,L,300.5,310.3,1523,38.2,8,0,0,0,0,0,0
M22363,M,300.2,311.7,1379,48.1,198,0,0,0,0,0,0
M24803,M,298.3,308.0,1484,26.0,26,0,0,0,0,0,0
L55300,L,300.2,311.4,2289,18.4,20,1,0,0,1,0,0
M22857,M,301.0,312.2,1367,54.9,136,0,0,0,0,0,0
L54231,L,300.5,310.4,1556,37.7,122,0,0,0,0,0,0
L47615,L,297.5,308.3,1759,26.0,0,0,0,0,0,0,0
L47988,L,296.9,307.7,1448,42.7,120,0,0,0,0,0,0
L53529,L,300.2,309.8,1483,35.2,21,0,0,0,0,0,0
L53351,L,300.8,310.6,1566,42.2,225,0,0,0,0,0,0
M16105,M,297.1,308.4,1488,47.6,192,0,0,0,0,0,0
M18453,M,301.6,310.4,1377,46.2,6,0,0,0,0,0,0
L52995,L,301.2,311.0,1670,34.9,112,0,0,0,0,0,0
L51657,L,302.6,310.3,1437,43.4,203,0,0,0,0,0,0
L47253,L,299.0,309.0,1553,41.3,96,0,0,0,0,0,0
L53151,L,300.5,310.8,1509,40.1,64,0,0,0,0,0,0
L53846,L,301.4,310.8,1413,43.5,194,0,0,0,0,0,0
M20603,M,302.2,311.6,1379,42.9,16,0,0,0,0,0,0
L48824,L,298.0,307.8,1450,43.5,121,0,0,0,0,0,0
M24285,M,298.1,308.8,1595,32.0,23,0,0,0,0,0,0
M18759,M,302.1,311.0,1403,50.1,83,0,0,0,0,0,0
L51349,L,302.1,310.6,1539,36.0,124,0,0,0,0,0,0
M18778,M,302.5,311.5,1358,52.7,85,0,0,0,0,0,0
L47958,L,296.7,307.6,1580,32.2,39,0,0,0,0,0,0
L52285,L,303.9,313.4,1374,40.1,12,0,0,0,0,0,0
L48892,L,298.2,307.7,1445,42.6,80,0,0,0,0,0,0
L54167,L,300.7,311.1,1455,40.2,163,0,0,0,0,0,0
L51620,L,302.5,310.4,1369,52.4,133,0,0,0,0,0,0
L52606,L,302.6,312.3,1676,29.7,58,0,0,0,0,0,0
L52551,L,302.9,312.4,1435,47.7,128,0,0,0,0,0,0
M23508,M,297.4,308.5,1635,32.2,9,0,0,0,0,0,0
M19146,M,301.8,309.9,1630,29.7,59,0,0,0,0,0,0
L52190,L,303.6,312.6,1348,49.9,66,0,0,0,0,0,0
M22642,M,300.4,311.6,1518,36.4,98,0,0,0,0,0,0
L48112,L,295.6,306.0,1636,34.3,12,0,0,0,0,0,0
L54819,L,300.5,311.4,1466,42.8,119,0,0,0,0,0,0
L49053,L,298.3,308.0,1384,49.7,88,0,0,0,0,0,0
H35660,H,300.8,310.3,1446,41.7,66,0,0,0,0,0,0
L53996,L,300.9,310.7,1605,32.5,9,0,0,0,0,0,0
M24336,M,298.0,309.6,1377,54.7,181,0,0,0,0,0,0
M23252,M,298.5,309.6,1541,39.4,84,0,0,0,0,0,0
L53245,L,300.8,310.9,1427,38.2,172,0,0,0,0,0,0
L56587,L,297.7,308.3,1688,32.9,36,0,0,0,0,0,0
L52930,L,301.9,311.3,1399,47.2,36,0,0,0,0,0,0
L48790,L,297.8,307.8,1573,39.8,33,0,0,0,0,0,0
M15455,M,297.5,309.3,1573,36.1,209,0,0,0,0,0,0
L55334,L,299.6,310.8,1473,40.3,80,0,0,0,0,0,0
L47548,L,297.3,308.4,1654,34.1,96,0,0,0,0,0,0
L48945,L,298.2,307.6,1492,38.3,5,0,0,0,0,0,0
L51458,L,302.0,310.0,1409,50.4,172,0,0,0,0,0,0
M17972,M,299.8,309.0,1490,42.2,181,0,0,0,0,0,0
L52404,L,303.7,312.9,1590,36.6,5,0,0,0,0,0,0
L56313,L,297.7,308.7,1543,40.1,93,0,0,0,0,0,0
M17661,M,300.3,309.6,1642,28.8,92,0,0,0,0,0,0
L50754,L,301.8,310.8,1371,49.9,65,0,0,0,0,0,0
L53670,L,300.7,309.9,1550,44.5,176,0,0,0,0,0,0
M23808,M,297.3,308.2,1487,41.1,43,0,0,0,0,0,0
L56756,L,299.7,310.6,1577,47.4,192,0,0,0,0,0,0
L54260,L,300.7,310.4,1543,46.5,203,0,0,0,0,0,0
L54913,L,300.4,312.0,1481,40.9,132,0,0,0,0,0,0
L56352,L,297.7,308.7,1715,30.7,195,0,0,0,0,0,0
L51703,L,302.4,310.5,1463,39.9,166,0,0,0,0,0,0
M18795,M,302.6,311.6,1639,29.2,187,0,0,0,0,0,0
L53818,L,301.5,310.5,1453,44.6,129,0,0,0,0,0,0
L52723,L,302.4,311.8,1255,59.0,64,0,0,0,0,0,0
L55420,L,299.1,310.5,1377,48.7,136,0,0,0,0,0,0
L55232,L,300.5,311.9,1437,44.2,54,0,0,0,0,0,0
M19454,M,303.0,311.2,1474,47.3,101,0,0,0,0,0,0
M17482,M,299.6,309.4,1727,26.2,80,0,0,0,0,0,0
M14972,M,298.8,308.6,1372,39.5,89,0,0,0,0,0,0
L55227,L,300.6,311.9,1463,37.2,41,0,0,0,0,0,0
L47390,L,298.4,308.7,1450,36.1,126,0,0,0,0,0,0
L50271,L,300.0,309.1,1470,43.4,173,0,0,0,0,0,0
L53856,L,301.5,310.7,1359,51.5,207,1,0,0,0,1,0
M16931,M,299.9,309.1,1463,43.6,27,0,0,0,0,0,0
L52316,L,304.2,313.4,1735,28.9,199,0,0,0,0,0,0
L56368,L,297.8,309.1,1483,45.4,36,0,0,0,0,0,0
M17598,M,299.7,309.1,1453,45.9,155,0,0,0,0,0,0
L52382,L,303.7,312.7,1469,47.3,168,0,0,0,0,0,0
M22620,M,300.4,311.7,1511,39.8,200,0,0,0,0,0,0
L54855,L,300.4,311.8,1356,49.1,137,0,0,0,0,0,0
L50830,L,302.2,311.4,1319,49.2,185,0,0,0,0,0,0
L50824,L,302.1,311.4,1421,39.1,2,0,0,0,0,0,0
L54266,L,300.6,310.4,1416,49.4,215,0,0,0,0,0,0
L52471,L,303.8,313.3,2151,17.6,179,0,0,0,0,0,0
M24031,M,297.7,308.8,1388,53.7,190,0,0,0,0,0,0
H39314,H,298.7,309.2,1434,48.8,208,0,0,0,0,0,0
L53232,L,300.9,311.0,1546,35.6,133,0,0,0,0,0,0
M24302,M,298.1,308.8,1367,45.8,70,0,0,0,0,0,0
M20257,M,300.9,310.7,1557,31.0,30,0,0,0,0,0,0
M16393,M,298.2,308.4,1486,36.8,66,0,0,0,0,0,0
M23210,M,298.7,309.6,1686,36.5,186,0,0,0,0,0,0
M18375,M,301.9,311.1,1491,40.0,2,0,0,0,0,0,0
L54112,L,300.7,311.0,1471,43.2,85,0,0,0,0,0,0
M24097,M,298.1,308.9,1389,51.7,147,0,0,0,0,0,0
L54135,L,300.7,311.2,1496,44.8,80,0,0,0,0,0,0
M16982,M,299.2,308.8,1436,38.8,125,0,0,0,0,0,1
L49197,L,298.7,308.6,1517,40.4,46,0,0,0,0,0,0
L51649,L,302.7,310.3,1413,54.5,207,0,0,0,0,0,0
L48395,L,296.8,307.9,1479,45.8,118,0,0,0,0,0,0
M21583,M,301.7,310.6,1564,49.5,100,0,0,0,0,0,0
M23899,M,297.3,308.3,1504,51.9,46,0,0,0,0,0,0
M22687,M,299.8,311.8,1460,43.7,170,0,0,0,0,0,0
L51787,L,303.0,311.1,1513,42.0,7,0,0,0,0,0,0
L56021,L,297.6,308.7,1506,47.6,187,0,0,0,0,0,0
L48604,L,298.7,309.7,1519,35.9,3,0,0,0,0,0,0
L55019,L,300.2,311.6,1374,43.0,189,0,0,0,0,0,0
L50282,L,299.9,309.1,1445,42.0,12,0,0,0,0,0,0
L49863,L,299.8,309.4,1590,38.0,162,0,0,0,0,0,0
L55499,L,298.7,309.7,1393,36.0,99,0,0,0,0,0,0
L54235,L,300.8,310.6,1470,42.8,89,0,0,0,0,0,0
L55694,L,298.2,309.4,1533,40.1,0,0,0,0,0,0,0
L54658,L,300.1,311.3,1630,29.5,133,0,0,0,0,0,0
L56948,L,298.6,309.6,1874,23.2,23,0,0,0,0,0,0
L48251,L,296.9,307.8,1286,49.1,163,0,0,0,0,0,0
M23612,M,297.5,308.6,1540,37.2,147,0,0,0,0,0,0
L47616,L,297.4,308.3,1510,35.9,141,0,0,0,0,0,0
M20748,M,301.5,311.1,1412,38.6,127,0,0,0,0,0,0
L50560,L,301.5,310.6,1547,37.7,126,0,0,0,0,0,0
M24403,M,299.5,310.8,1566,31.3,109,0,0,0,0,0,0
L48112,L,295.6,306.0,1418,46.2,13,0,0,0,0,0,0
L54967,L,300.3,311.5,1544,41.9,64,0,0,0,0,0,0
L49703,L,298.8,308.6,1533,42.0,70,0,0,0,0,0,0
M21705,M,301.3,311.5,1648,32.4,9,0,0,0,0,0,0
L48961,L,298.5,308.0,1710,28.8,46,0,0,0,0,0,0
L50490,L,301.3,310.4,1569,32.1,0,0,0,0,0,0,0
L54406,L,299.7,309.6,1448,43.4,181,0,0,0,0,0,0
L52144,L,303.9,312.7,1397,33.9,165,0,0,0,0,0,0
L49924,L,299.7,309.2,1430,46.3,119,0,0,0,0,0,0
L54192,L,300.7,310.5,1389,49.3,19,0,0,0,0,0,0
L47430,L,298.0,308.3,1419,46.7,35,0,0,0,0,0,0
M20049,M,304.1,313.2,1427,46.9,79,0,0,0,0,0,0
L47503,L,297.8,308.4,1486,45.4,194,0,0,0,0,0,0
L54690,L,300.5,311.7,1395,41.2,167,1,1,0,0,0,0
L50870,L,302.1,311.2,1455,40.0,169,0,0,0,0,0,0
L52157,L,303.7,312.7,1642,31.5,48,0,0,0,0,0,0
L55884,L,297.2,308.4,1335,60.0,196,0,0,0,0,0,0
M18671,M,302.1,310.7,1608,32.7,81,0,0,0,0,0,0
M24510,M,299.0,310.1,1449,43.1,104,0,0,0,0,0,0
L54914,L,300.4,312.0,1472,47.3,132,0,0,0,0,0,0
L48397,L,297.0,307.9,1462,50.7,122,0,0,0,0,0,0
M22398,M,300.1,311.5,1631,32.5,47,0,0,0,0,0,0
M17574,M,299.6,309.1,1446,55.5,95,0,0,0,0,0,0
L48492,L,298.9,310.1,1446,45.8,166,0,0,0,0,0,0
L54982,L,300.3,311.5,1423,48.8,26,0,0,0,0,0,0
L51681,L,302.5,310.2,1499,36.5,19,0,0,0,0,0,0
L52234,L,303.9,312.9,1433,45.0,9,0,0,0,0,0,0
M22023,M,300.1,310.1,1487,41.2,195,0,0,0,0,0,0
L48331,L,297.1,307.9,1434,51.0,168,0,0,0,0,0,0
L55348,L,299.7,311.1,1690,37.5,150,0,0,0,0,0,0
L53912,L,301.7,311.1,1521,37.4,134,0,0,0,0,0,0
L52884,L,302.4,311.8,1450,43.5,135,0,0,0,0,0,0
L48973,L,298.2,307.8,1568,28.2,203,0,0,0,0,0,0
L48397,L,296.9,308.0,1539,38.4,122,0,0,0,0,0,0
L49598,L,299.1,308.4,1651,34.4,13,0,0,0,0,0,0
H38499,H,297.1,307.9,1435,53.6,180,0,0,0,0,0,0
L54022,L,301.1,311.3,1510,38.0,126,0,0,0,0,0,0
L52543,L,303.2,312.5,1601,39.7,146,0,0,0,0,0,0
L53231,L,300.9,311.0,1625,37.2,176,0,0,0,0,0,0
L54820,L,300.4,311.3,1608,35.4,155,0,0,0,0,0,0
H37469,H,300.2,311.6,1496,41.1,101,0,0,0,0,0,0
M18589,M,302.4,311.3,1332,57.4,130,0,0,0,0,0,0
L49073,L,297.8,307.5,1521,35.0,144,0,0,0,0,0,0
M21491,M,301.5,310.5,1422,48.0,0,0,0,0,0,0,0
H39009,H,298.2,307.9,1452,37.9,148,0,0,0,0,0,0
M21364,M,300.8,309.9,2261,19.8,181,0,0,0,0,0,0
L55633,L,298.6,310.0,1685,27.6,44,0,0,0,0,0,0
L56621,L,298.1,308.8,1449,44.1,68,0,0,0,0,0,0
M16097,M,297.1,308.4,1488,46.2,179,0,0,0,0,0,0
M22839,M,301.2,312.3,1377,46.7,142,0,0,0,0,0,0
M22122,M,300.4,310.6,1432,35.6,124,0,0,0,0,0,0
M21511,M,301.5,310.4,1593,35.7,161,0,0,0,0,0,0
L56869,L,298.9,310.0,1616,31.9,46,0,0,0,0,0,0
L48755,L,298.2,308.3,2057,18.0,0,0,0,0,0,0,0
L55233,L,300.5,311.8,1539,36.9,56,0,0,0,0,0,0
L54607,L,300.0,311.4,1474,41.7,0,0,0,0,0,0,0
L56927,L,298.8,310.1,1481,48.8,187,0,0,0,0,0,0
L53854,L,301.5,310.7,1471,37.6,218,0,0,0,0,0,0
L50049,L,300.8,309.7,1426,45.3,14,0,0,0,0,0,0
L55976,L,297.4,308.5,1459,39.4,194,0,0,0,0,0,0
H35323,H,300.7,310.2,1580,40.7,208,1,1,0,0,1,0
L48689,L,298.0,308.5,1488,46.0,2,0,0,0,0,0,0
L56909,L,298.8,309.8,1695,31.9,74,0,0,0,0,0,0
L55502,L,298.6,309.6,1426,44.7,0,0,0,0,0,0,0
L49448,L,299.3,308.5,1438,46.6,63,0,0,0,0,0,0
L53792,L,301.6,310.5,1524,43.4,62,0,0,0,0,0,0
